course,geoLevel,geoName,sex,stage,value,sourceId
2024-2025,province,Almería,hombre,FP GRADO MEDIO,1,educabase-otros-03-2024-2025
2024-2025,province,Almería,hombre,FP GRADO SUPERIOR,0,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,TOTAL,406,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,E. INFANTIL 2.º CICLO,0,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,TOTAL PRIMARIA,158,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,E. Primaria 1.º,14,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,E. Primaria 2.º,21,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,E. Primaria 3.º,25,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,E. Primaria 4.º,34,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,E. Primaria 5.º,37,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,E. Primaria 6.º,27,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,TOTAL ESO,152,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,1º E.S.O.,22,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,2º E.S.O.,35,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,3º E.S.O.,39,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,4º E.S.O.,56,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,BACHILLERATO,95,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,FP BÁSICA,0,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,FP GRADO MEDIO,0,educabase-otros-03-2024-2025
2024-2025,province,Almería,mujer,FP GRADO SUPERIOR,1,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,TOTAL,2093,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,E. INFANTIL 2.º CICLO,12,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,TOTAL PRIMARIA,807,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,E. Primaria 1.º,60,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,E. Primaria 2.º,133,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,E. Primaria 3.º,169,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,E. Primaria 4.º,139,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,E. Primaria 5.º,162,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,E. Primaria 6.º,144,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,TOTAL ESO,831,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,1º E.S.O.,150,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,2º E.S.O.,223,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,3º E.S.O.,226,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,4º E.S.O.,232,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,BACHILLERATO,433,educabase-otros-03-2024-2025
