course,geoLevel,geoName,sex,stage,value,sourceId
2024-2025,ccaa,Andalucía,hombre,Curso de Especialización para titulados de GS presencial,1103,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Curso de Especialización para titulados de GS a distancia,122,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,hombre,Otros programas formativos,380,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,TOTAL,767107,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Infantil - Primer ciclo,51292,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Infantil - Segundo ciclo,101214,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,E. Primaria,247781,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Educación Especial,3268,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,ESO,194621,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Bachillerato (1),69036,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Bachillerato a distancia,3912,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Ciclos Formativos de FP Grado Básico,4225,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Ciclos Formativos de FP Grado Medio (1),34515,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Ciclos Formativos de FP Grado Medio a distancia,2561,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Curso de Especialización para titulados de GM presencial,38,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Ciclos Formativos de FP Grado Superior (1),42507,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Ciclos Formativos de FP Grado Superior a distancia,11667,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Curso de Especialización para titulados de GS presencial,239,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Curso de Especialización para titulados de GS a distancia,18,educabase-general-1-01-2024-2025
2024-2025,ccaa,Andalucía,mujer,Otros programas formativos,213,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,TOTAL,152843,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,E. Infantil - Primer ciclo,11115,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,E. Infantil - Segundo ciclo,21593,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,E. Primaria,51293,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Educación Especial,1317,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,ESO,37148,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Bachillerato (1),10820,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Bachillerato a distancia,1086,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Ciclos Formativos de FP Grado Básico,1354,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Ciclos Formativos de FP Grado Medio (1),5910,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Ciclos Formativos de FP Grado Medio a distancia,585,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Curso de Especialización para titulados de GM presencial,28,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Ciclos Formativos de FP Grado Superior (1),5913,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Ciclos Formativos de FP Grado Superior a distancia,4462,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Curso de Especialización para titulados de GS presencial,142,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Curso de Especialización para titulados de GS a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Almería,total,Otros programas formativos,77,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,TOTAL,78420,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,E. Infantil - Primer ciclo,5800,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,E. Infantil - Segundo ciclo,11072,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,E. Primaria,26431,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Educación Especial,905,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,ESO,19029,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Bachillerato (1),4809,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Bachillerato a distancia,559,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Ciclos Formativos de FP Grado Básico,963,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Ciclos Formativos de FP Grado Medio (1),3311,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Ciclos Formativos de FP Grado Medio a distancia,149,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Curso de Especialización para titulados de GM presencial,19,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Ciclos Formativos de FP Grado Superior (1),3164,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Ciclos Formativos de FP Grado Superior a distancia,2042,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Curso de Especialización para titulados de GS presencial,117,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Curso de Especialización para titulados de GS a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Almería,hombre,Otros programas formativos,50,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,TOTAL,74423,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,E. Infantil - Primer ciclo,5315,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,E. Infantil - Segundo ciclo,10521,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,E. Primaria,24862,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Educación Especial,412,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,ESO,18119,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Bachillerato (1),6011,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Bachillerato a distancia,527,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Ciclos Formativos de FP Grado Básico,391,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Ciclos Formativos de FP Grado Medio (1),2599,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Ciclos Formativos de FP Grado Medio a distancia,436,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Curso de Especialización para titulados de GM presencial,9,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Ciclos Formativos de FP Grado Superior (1),2749,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Ciclos Formativos de FP Grado Superior a distancia,2420,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Curso de Especialización para titulados de GS presencial,25,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Curso de Especialización para titulados de GS a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Almería,mujer,Otros programas formativos,27,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,TOTAL,225358,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,E. Infantil - Primer ciclo,12099,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,E. Infantil - Segundo ciclo,28742,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,E. Primaria,73078,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Educación Especial,1447,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,ESO,58894,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Bachillerato (1),20169,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Bachillerato a distancia,1533,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Ciclos Formativos de FP Grado Básico,2432,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Ciclos Formativos de FP Grado Medio (1),12938,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Ciclos Formativos de FP Grado Medio a distancia,108,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Curso de Especialización para titulados de GM presencial,22,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Ciclos Formativos de FP Grado Superior (1),12718,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Ciclos Formativos de FP Grado Superior a distancia,856,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Curso de Especialización para titulados de GS presencial,197,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Curso de Especialización para titulados de GS a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,total,Otros programas formativos,125,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,TOTAL,116286,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,E. Infantil - Primer ciclo,6290,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,E. Infantil - Segundo ciclo,14745,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,E. Primaria,37681,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Educación Especial,992,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,ESO,30281,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Bachillerato (1),9497,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Bachillerato a distancia,821,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Ciclos Formativos de FP Grado Básico,1686,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Ciclos Formativos de FP Grado Medio (1),7278,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Ciclos Formativos de FP Grado Medio a distancia,57,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Curso de Especialización para titulados de GM presencial,17,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Curso de Especialización para titulados de GM a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Ciclos Formativos de FP Grado Superior (1),6537,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Ciclos Formativos de FP Grado Superior a distancia,154,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Curso de Especialización para titulados de GS presencial,169,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Curso de Especialización para titulados de GS a distancia,0,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,hombre,Otros programas formativos,81,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,mujer,TOTAL,109072,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,mujer,E. Infantil - Primer ciclo,5809,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,mujer,E. Infantil - Segundo ciclo,13997,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,mujer,E. Primaria,35397,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,mujer,Educación Especial,455,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,mujer,ESO,28613,educabase-general-1-01-2024-2025
2024-2025,province,Cádiz,mujer,Bachillerato (1),10672,educabase-general-1-01-2024-2025
